Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-09-17 00:27:07,2024-09-18 00:41:53,UTC+01:00,2024-09-17 00:27:07,2024-09-17 07:44:31,92,13.7,421,437,140,107,174,16,456,0,96,79,false
2024-09-16 00:36:39,2024-09-17 00:27:07,UTC+01:00,2024-09-16 00:36:39,2024-09-16 09:34:02,100,13.5,517,537,245,120,152,20,504,27,96,75,false
2024-09-15 00:39:01,2024-09-16 00:36:39,UTC+01:00,2024-09-15 00:39:01,2024-09-15 08:33:54,92,14.0,458,474,206,129,123,16,500,21,96,73,false
2024-09-14 01:04:27,2024-09-15 00:39:01,UTC+01:00,2024-09-14 01:04:27,2024-09-14 08:38:40,93,15.3,429,453,184,122,123,24,463,34,95,57,false
2024-09-13 00:10:47,2024-09-14 01:04:27,UTC+01:00,2024-09-13 16:47:12,2024-09-13 17:53:32,11,13.4,54,66,34,9,11,12,510,34,81,,true
2024-09-13 00:10:47,2024-09-14 01:04:27,UTC+01:00,2024-09-13 00:10:47,2024-09-13 07:09:55,85,13.7,385,419,164,95,126,34,455,0,94,66,false
2024-09-12 00:51:34,2024-09-13 00:10:47,UTC+01:00,2024-09-12 00:51:34,2024-09-12 11:19:20,100,14.9,533,627,277,137,119,94,459,2,84,61,false
2024-09-11 00:00:03,2024-09-12 00:51:34,UTC+01:00,2024-09-11 00:00:03,2024-09-11 09:54:39,99,14.1,566,594,246,122,198,28,570,70,95,70,false
2024-09-10 00:07:58,2024-09-11 00:00:03,UTC+01:00,2024-09-10 00:07:58,2024-09-10 06:34:54,72,13.9,363,384,200,80,83,21,505,24,95,71,false
2024-09-09 00:35:33,2024-09-10 00:07:58,UTC+01:00,2024-09-09 00:35:33,2024-09-09 07:59:11,92,13.9,421,443,213,80,128,22,460,0,95,62,false
2024-09-07 22:40:52,2024-09-09 00:35:33,UTC+01:00,2024-09-07 22:40:52,2024-09-08 10:23:21,100,13.9,609,702,279,154,176,93,488,27,86,56,false
2024-09-07 00:56:22,2024-09-07 22:40:52,UTC+01:00,2024-09-07 00:56:22,2024-09-07 09:29:14,89,13.9,458,512,218,101,139,54,512,25,91,52,false
2024-09-05 22:42:35,2024-09-07 00:56:22,UTC+01:00,2024-09-05 22:42:35,2024-09-06 06:59:37,89,13.8,427,497,177,103,147,70,478,0,86,58,false
